Airline	April 04, 2023	April 13, 2023	April 27, 2023	May 11, 2023	June 24, 2023	July 08, 2023	August 05, 2023	September 01, 2023	September 02, 2023	September 16, 2023	October 03, 2023	October 14, 2023	October 17, 2023
InterSky Airways	83	86	90	91	0	0	0	0	0	0	0	0	0
Intl Airways	0	0	0	0	0	14	21	0	0	0	0	0	0
Irrationale	0	0	0	7	33	39	41	0	5	30	71	81	81
Irrationale Asia	0	0	0	9	50	61	64	0	4	21	54	77	82
Irrationale Europe	0	0	0	4	31	31	31	0	0	0	0	0	0
Island Hopper	34	50	8	0	0	0	58	0	0	0	0	0	0
italiancoco	0	0	0	0	51	70	103	0	36	67	97	114	114
J Airlines	0	0	0	0	0	0	0	0	16	7	26	15	18
Jade Airways	0	0	0	0	11	21	41	0	0	0	0	0	0
Japan Airlines	0	0	0	0	7	11	30	0	7	8	8	0	0
JBAir	0	0	0	0	0	0	0	0	0	0	0	0	0
jet airways	1	1	0	0	0	0	0	0	0	0	0	0	0
Jet Airways	0	0	0	0	0	0	0	0	0	0	0	5	5
Jet Connect	47	54	54	54	0	0	0	0	0	0	0	0	0
Jet Godwit	0	0	0	0	0	0	0	0	4	4	4	0	0
JetAtlas	0	0	0	0	0	0	0	0	3	3	0	0	0
JetCali	0	0	0	0	3	3	0	0	0	0	0	0	0
jetDog	0	0	0	0	0	0	5	0	0	0	0	0	0
JetLines	0	0	0	0	0	0	9	0	0	0	0	0	0
JetMew	0	0	0	0	0	0	0	0	27	84	103	103	103
Jetstar	44	0	0	0	0	0	0	0	0	0	0	0	0
Jetstream	0	0	0	0	0	0	0	0	2	12	24	41	42
JGT Express	0	0	0	0	0	0	0	0	0	0	0	0	0
JMC Express	0	0	0	0	0	0	0	0	28	95	133	163	163
JOHN CENA	0	0	0	0	0	5	6	0	0	0	0	0	0
Johnny sins air	0	0	0	0	0	0	0	0	0	0	0	0	0
Jollibee	0	0	0	0	0	0	5	0	0	0	0	0	0
justanairliner	17	17	0	0	0	0	0	0	0	0	0	0	0
